America/Virgin	America/St_Thomas
America/Buenos_Aires	America/Argentina/Buenos_Aires
Hongkong	Asia/Hong_Kong
Etc/GMT+0	Etc/GMT
Asia/Calcutta	Asia/Kolkata
Australia/South	Australia/Adelaide
America/Atka	America/Adak
America/Coral_Harbour	America/Atikokan
Africa/Asmera	Africa/Asmara
America/Fort_Wayne	America/Indiana/Indianapolis
Australia/LHI	Australia/Lord_Howe
PRC	Asia/Shanghai
US/Mountain	America/Denver
Asia/Thimbu	Asia/Thimphu
America/Shiprock	America/Denver
Europe/Podgorica	Europe/Belgrade
Brazil/DeNoronha	America/Noronha
Jamaica	America/Jamaica
Arctic/Longyearbyen	Europe/Oslo
Europe/Guernsey	Europe/London
GB	Europe/London
Canada/Mountain	America/Edmonton
Chile/EasterIsland	Pacific/Easter
Etc/Universal	Etc/UTC
Navajo	America/Denver
America/Indianapolis	America/Indiana/Indianapolis
Pacific/Truk	Pacific/Chuuk
Pacific/Yap	Pacific/Chuuk
America/Ensenada	America/Tijuana
Europe/Sarajevo	Europe/Belgrade
Universal	Etc/UTC
Turkey	Europe/Istanbul
America/Jujuy	America/Argentina/Jujuy
America/Cordoba	America/Argentina/Cordoba
Europe/Skopje	Europe/Belgrade
America/Kralendijk	America/Curacao
Australia/Tasmania	Australia/Hobart
Europe/Jersey	Europe/London
Europe/Nicosia	Asia/Nicosia
Asia/Macao	Asia/Macau
Australia/Canberra	Australia/Sydney
ROK	Asia/Seoul
US/Hawaii	Pacific/Honolulu
Asia/Ujung_Pandang	Asia/Makassar
Cuba	America/Havana
Asia/Saigon	Asia/Ho_Chi_Minh
ROC	Asia/Taipei
America/Louisville	America/Kentucky/Louisville
America/St_Barthelemy	America/Guadeloupe
America/Porto_Acre	America/Rio_Branco
Europe/Isle_of_Man	Europe/London
Australia/West	Australia/Perth
US/Eastern	America/New_York
Libya	Africa/Tripoli
Canada/Saskatchewan	America/Regina
Canada/Eastern	America/Toronto
Iran	Asia/Tehran
GB-Eire	Europe/London
Etc/Greenwich	Etc/GMT
Atlantic/Jan_Mayen	Europe/Oslo
US/Central	America/Chicago
US/Pacific	America/Los_Angeles
Portugal	Europe/Lisbon
Europe/Tiraspol	Europe/Chisinau
Asia/Katmandu	Asia/Kathmandu
Etc/GMT0	Etc/GMT
Pacific/Ponape	Pacific/Pohnpei
Japan	Asia/Tokyo
Asia/Ulan_Bator	Asia/Ulaanbaatar
Kwajalein	Pacific/Kwajalein
Australia/Yancowinna	Australia/Broken_Hill
America/Marigot	America/Guadeloupe
America/Lower_Princes	America/Curacao
Greenwich	Etc/GMT
America/Mendoza	America/Argentina/Mendoza
Asia/Dacca	Asia/Dhaka
US/East-Indiana	America/Indiana/Indianapolis
America/Argentina/ComodRivadavia	America/Argentina/Catamarca
Canada/East-Saskatchewan	America/Regina
Chile/Continental	America/Santiago
Asia/Tel_Aviv	Asia/Jerusalem
Mexico/General	America/Mexico_City
Asia/Istanbul	Europe/Istanbul
America/Rosario	America/Argentina/Cordoba
GMT0	Etc/GMT
Europe/Mariehamn	Europe/Helsinki
Australia/Victoria	Australia/Melbourne
US/Aleutian	America/Adak
Australia/ACT	Australia/Sydney
Australia/North	Australia/Darwin
US/Samoa	Pacific/Pago_Pago
US/Michigan	America/Detroit
Asia/Chungking	Asia/Chongqing
NZ	Pacific/Auckland
Asia/Ashkhabad	Asia/Ashgabat
America/Knox_IN	America/Indiana/Knox
America/Catamarca	America/Argentina/Catamarca
GMT+0	Etc/GMT
Poland	Europe/Warsaw
Pacific/Samoa	Pacific/Pago_Pago
US/Indiana-Starke	America/Indiana/Knox
Canada/Newfoundland	America/St_Johns
GMT	Etc/GMT
Canada/Yukon	America/Whitehorse
Canada/Atlantic	America/Halifax
US/Arizona	America/Phoenix
Europe/San_Marino	Europe/Rome
Australia/NSW	Australia/Sydney
Canada/Pacific	America/Vancouver
Etc/Zulu	Etc/UTC
Europe/Ljubljana	Europe/Belgrade
US/Alaska	America/Anchorage
Atlantic/Faeroe	Atlantic/Faroe
Etc/GMT-0	Etc/GMT
Israel	Asia/Jerusalem
UCT	Etc/UCT
NZ-CHAT	Pacific/Chatham
Iceland	Atlantic/Reykjavik
Europe/Vatican	Europe/Rome
Australia/Queensland	Australia/Brisbane
Africa/Timbuktu	Africa/Bamako
UTC	Etc/UTC
Mexico/BajaNorte	America/Tijuana
Eire	Europe/Dublin
Europe/Zagreb	Europe/Belgrade
Europe/Belfast	Europe/London
Brazil/West	America/Manaus
Mexico/BajaSur	America/Mazatlan
Europe/Bratislava	Europe/Prague
Canada/Central	America/Winnipeg
GMT-0	Etc/GMT
W-SU	Europe/Moscow
Zulu	Etc/UTC
Egypt	Africa/Cairo
Singapore	Asia/Singapore
Brazil/Acre	America/Rio_Branco
Brazil/East	America/Sao_Paulo
Antarctica/South_Pole	Antarctica/McMurdo
